,time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5386,-48.163,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187072.545,-187500.022,-187500.022,-187500.022,-187500.022
5387,-48.168,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187038.168,-187500.022,-187500.022,-187500.022,-187500.022
5388,-48.172,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187064.722,-187500.022,-187500.022,-187500.022,-187500.022
5389,-48.200,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187033.094,-187500.022,-187500.022,-187500.022,-187500.022
5390,-48.206,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187054.284,-187500.022,-187500.022,-187500.022,-187500.022
5391,-48.211,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187026.076,-187500.022,-187500.022,-187500.022,-187500.022
5392,-48.216,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187044.494,-187500.022,-187500.022,-187500.022,-187500.022
5393,-48.220,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187020.175,-187500.022,-187500.022,-187500.022,-187500.022
5394,-48.225,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187031.686,-187500.022,-187500.022,-187500.022,-187500.022
5395,-48.229,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187012.620,-187500.022,-187500.022,-187500.022,-187500.022
5396,-48.261,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187019.549,-187500.022,-187500.022,-187500.022,-187500.022
5397,-48.265,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187008.820,-187500.022,-187500.022,-187500.022,-187500.022
5398,-48.270,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187006.630,-187500.022,-187500.022,-187500.022,-187500.022
5399,-48.275,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187000.506,-187500.022,-187500.022,-187500.022,-187500.022
5400,-48.280,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186990.179,-187500.022,-187500.022,-187500.022,-187500.022
5401,-48.284,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186992.101,-187500.022,-187500.022,-187500.022,-187500.022
5402,-48.289,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186974.131,-187500.022,-187500.022,-187500.022,-187500.022
5403,-48.293,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186986.089,-187500.022,-187500.022,-187500.022,-187500.022
5404,-48.319,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186963.491,-187500.022,-187500.022,-187500.022,-187500.022
5405,-48.324,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186977.148,-187500.022,-187500.022,-187500.022,-187500.022
5406,-48.328,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186949.834,-187500.022,-187500.022,-187500.022,-187500.022
5407,-48.333,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186970.510,-187500.022,-187500.022,-187500.022,-187500.022
5408,-48.338,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186938.256,-187500.022,-187500.022,-187500.022,-187500.022
5409,-48.343,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186960.049,-187500.022,-187500.022,-187500.022,-187500.022
5410,-48.347,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186928.734,-187500.022,-187500.022,-187500.022,-187500.022
5411,-48.379,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186951.488,-187500.022,-187500.022,-187500.022,-187500.022
5412,-48.384,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186919.771,-187500.022,-187500.022,-187500.022,-187500.022
5413,-48.388,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186940.916,-187500.022,-187500.022,-187500.022,-187500.022
5414,-48.393,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186908.372,-187500.022,-187500.022,-187500.022,-187500.022
5415,-48.397,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186926.320,-187500.022,-187500.022,-187500.022,-187500.022
5416,-48.403,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186900.906,-187500.022,-187500.022,-187500.022,-187500.022
5417,-48.407,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186915.971,-187500.022,-187500.022,-187500.022,-187500.022
5418,-48.412,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186892.167,-187500.022,-187500.022,-187500.022,-187500.022
5419,-48.440,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186900.750,-187500.022,-187500.022,-187500.022,-187500.022
5420,-48.444,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186886.601,-187500.022,-187500.022,-187500.022,-187500.022
5421,-48.449,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186886.847,-187500.022,-187500.022,-187500.022,-187500.022
5422,-48.453,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186879.113,-187500.022,-187500.022,-187500.022,-187500.022
5423,-48.458,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186877.124,-187500.022,-187500.022,-187500.022,-187500.022
5424,-48.462,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186875.358,-187500.022,-187500.022,-187500.022,-187500.022
5425,-48.468,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186862.774,-187500.022,-187500.022,-187500.022,-187500.022
5426,-48.500,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186868.362,-187500.022,-187500.022,-187500.022,-187500.022
5427,-48.505,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186845.742,-187500.022,-187500.022,-187500.022,-187500.022
5428,-48.509,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186858.840,-187500.022,-187500.022,-187500.022,-187500.022
5429,-48.514,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186829.671,-187500.022,-187500.022,-187500.022,-187500.022
5430,-48.518,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186850.503,-187500.022,-187500.022,-187500.022,-187500.022
5431,-48.523,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186820.954,-187500.022,-187500.022,-187500.022,-187500.022
5432,-48.527,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186845.921,-187500.022,-187500.022,-187500.022,-187500.022
5433,-48.532,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186811.723,-187500.022,-187500.022,-187500.022,-187500.022
5434,-48.560,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186834.589,-187500.022,-187500.022,-187500.022,-187500.022
5435,-48.566,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186801.217,-187500.022,-187500.022,-187500.022,-187500.022
