eeg1,eeg2,eeg3,eeg4,eeg5,time
866.2109375, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.243163
898.92578125, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.2470694
-608.88671875, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.2509756
-1000.0, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.2548819
121.58203125, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.258788
-798.33984375, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.2626944
-4.39453125, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.2666006
-1000.0, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.2705069
-239.74609375, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.274413
-814.94140625, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.2783194
237.3046875, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.2822256
-1000.0, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.2861319
-365.72265625, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.290038
-853.02734375, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.2939444
523.92578125, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.2978506
-1000.0, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.3017569
-821.2890625, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.305663
710.44921875, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.3095694
-915.0390625, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.3134756
-318.359375, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.3173819
-1000.0, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.321288
59.08203125, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.3251944
-777.83203125, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.3291006
121.58203125, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.3330069
-1000.0, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.336913
-254.8828125, -1000.0, -1000.0, -1000.0, 0.0, 1622079574.3408194
-803.22265625, -970.703125, -1000.0, -997.0703125, 0.0, 1622079574.3447256
231.4453125, -1000.0, -1000.0, -971.6796875, 0.0, 1622079574.3486319
-1000.0, -856.4453125, -1000.0, -1000.0, 0.0, 1622079574.352538
-229.4921875, 18.06640625, -999.0234375, -529.296875, 0.0, 1622079574.3564444
-944.3359375, 756.34765625, -968.26171875, 586.9140625, 0.0, 1622079574.3603506
950.1953125, 963.37890625, -1000.0, -997.0703125, 0.0, 1622079574.3642569
938.4765625, 958.49609375, -556.15234375, 938.4765625, 0.0, 1622079574.368163
975.09765625, 966.30859375, 566.89453125, 967.28515625, 0.0, 1622079574.3720694
902.34375, 969.7265625, 996.58203125, 970.21484375, 0.0, 1622079574.3759756
-875.0, 968.75, 940.4296875, 968.26171875, 0.0, 1622079574.3798819
199.21875, 968.75, 965.33203125, 968.26171875, 0.0, 1622079574.383788
-1000.0, 968.75, 970.703125, 968.75, 0.0, 1622079574.3876944
45.8984375, 968.75, 968.26171875, 968.26171875, 0.0, 1622079574.3916006
-739.2578125, 968.75, 968.75, 968.26171875, 0.0, 1622079574.3955069
190.91796875, 968.75, 968.75, 968.26171875, 0.0, 1622079574.399413
-1000.0, 968.75, 968.26171875, 968.26171875, 0.0, 1622079574.4033194
-271.97265625, 968.75, 968.26171875, 968.26171875, 0.0, 1622079574.4072256
-808.59375, 968.26171875, 968.75, 968.26171875, 0.0, 1622079574.4111319
354.98046875, 968.75, 968.75, 968.26171875, 0.0, 1622079574.415038
-1000.0, 968.75, 968.75, 968.26171875, 0.0, 1622079574.4189444
-582.03125, 968.75, 968.75, 968.75, 0.0, 1622079574.4228506
